dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
agui,11974,10988,8,0,0.954242509439325,61.5384615384615,0,
agui,12024,11038,8,0,0.954242509439325,61.5384615384615,0,
mma2,12026,11039,7,0,0.903089986991944,53.8461538461538,0,
mma2,12028,11040,7,0,0.903089986991944,53.8461538461538,0,
agui,12058,11067,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12071,11078,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12157,11155,7,0,0.903089986991944,53.8461538461538,0,
agui,12158,11156,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12159,11157,7,0,0.903089986991944,53.8461538461538,0,
agui,12191,11180,8,0,0.954242509439325,61.5384615384615,0,
agui,12192,11181,8,0,0.954242509439325,61.5384615384615,0,
idig,12269,11251,11,0,1.07918124604762,84.6153846153846,0,
gbif,12273,11255,11,0,1.07918124604762,84.6153846153846,0,
idig,12276,11257,9,0,1,69.2307692307692,0,
gbif,12277,11259,11,0,1.07918124604762,84.6153846153846,0,
gbif,12281,11263,11,0,1.07918124604762,84.6153846153846,0,
mma2,12286,11266,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,12292,11269,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,12294,11270,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
agui,12311,11283,7,0,0.903089986991944,53.8461538461538,0,
agui,12319,11288,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12320,11289,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12338,11304,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12339,11305,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12340,11306,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
mma2,12355,11315,7,0,0.903089986991944,53.8461538461538,0,
agui,12361,11319,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12362,11320,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12405,11355,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12406,11356,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12407,11357,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12408,11358,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12409,11359,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
vert,12432,11382,11,0,1.07918124604762,84.6153846153846,0,
vert,12434,11383,11,0,1.07918124604762,84.6153846153846,0,
vert,12438,11385,11,0,1.07918124604762,84.6153846153846,0,
agui,12475,11418,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,12480,11421,8,0,0.954242509439325,61.5384615384615,0,
agui,12497,11439,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12498,11440,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,12506,11444,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
